time,thrust
0,0
0.01,110.5599134
0.02,141.0205205
0.03,171.4549103
0.04,201.8633221
0.05,232.246067
0.06,262.6035271
0.07,292.9361556
0.08,323.2444774
0.09,353.5290883
0.1,383.7906556
0.11,414.0299177
0.12,444.2476845
0.13,442.0064342
0.14,441.8429797
0.15,426.0976818
0.16,425.9464706
0.17,416.3724996
0.18,416.230781
0.19,420.3557334
0.2,413.8582525
0.21,413.7265371
0.22,418.9363772
0.23,418.8094291
0.24,418.082427
0.25,417.9619938
0.26,413.3084783
0.27,413.1954226
0.28,414.3849434
0.29,415.7668098
0.3,415.6624769
0.31,416.6691704
0.32,416.5709166
0.33,416.0014245
0.34,415.9095707
0.35,408.7110194
0.36,408.6265159
0.37,401.693903
0.38,409.001003
0.39,408.9254462
0.4,381.105549
0.41,381.0389518
0.42,382.4240858
0.43,382.3624753
0.44,387.9692067
0.45,387.9123506
0.46,382.1029799
0.47,400.818772
0.48,400.769292
0.49,388.4107051
0.5,388.3673804
0.51,385.2514193
0.52,385.2135089
0.53,398.1586017
0.54,398.1260229
0.55,389.9201517
0.56,400.8212022
0.57,400.7972127
0.58,396.2710462
0.59,396.2526499
0.6,425.0882252
0.61,425.0774252
0.62,401.3345999
0.63,401.3284514
0.64,388.0949563
0.65,392.2727134
0.66,392.2741898
0.67,411.9419582
0.68,411.9514959
0.69,406.3909373
0.7,406.4058656
0.71,397.7135798
0.72,397.7330773
0.73,412.9227782
0.74,393.4406949
0.75,393.4680453
0.76,373.3844615
0.77,373.4131596
0.78,439.1904892
0.79,439.2390123
0.8,375.988547
0.81,338.243523
0.82,338.2765903
0.83,423.7789813
0.84,423.8387732
0.85,404.9808022
0.86,405.0417483
0.87,348.3616738
0.88,348.4112222
0.89,399.9407966
0.9,407.4762575
0.91,407.5517453
0.92,336.6799119
0.93,336.7367319
0.94,383.4171576
0.95,383.4945591
0.96,414.2794794
0.97,414.3737905
0.98,326.8338683
0.99,403.436597
1,403.5349663
1.01,362.8997869
1.02,362.986691
1.03,358.5672291
1.04,358.6566329
1.05,383.9983979
1.06,384.1036676
1.07,334.3072761
1.08,396.4557785
1.09,396.5742471
1.1,320.3495121
1.11,320.4355325
1.12,396.4646225
1.13,396.5927362
1.14,317.0044926
1.15,317.0959252
1.16,418.2729179
1.17,304.3385931
1.18,304.4281858
1.19,381.8058142
1.2,381.9418661
1.21,324.1522494
1.22,324.259543
1.23,362.3647615
1.24,362.4980073
1.25,342.8020539
1.26,339.7097856
1.27,339.8351468
1.28,382.3617006
1.29,382.5177784
1.3,299.3783078
1.31,299.4850125
1.32,383.2696543
1.33,383.4346804
1.34,286.5414999
1.35,334.0198281
1.36,334.1572916
1.37,336.5014858
1.38,336.6439969
1.39,307.9684725
1.4,308.0938624
1.41,362.1897942
1.42,362.3574692
1.43,295.7145148
1.44,303.8455916
1.45,303.9748679
1.46,357.8014404
1.47,357.9745827
1.48,291.7596578
1.49,291.8849695
1.5,289.158905
1.51,289.2843079
1.52,335.7599025
1.53,295.1444574
1.54,295.3900445
1.55,281.3648275
1.56,281.5951081
1.57,324.968762
1.58,325.2552374
1.59,309.1151256
1.6,309.3839039
1.61,249.6721645
1.62,313.5032607
1.63,313.7804427
1.64,305.7567011
1.65,306.025916
1.66,248.7842714
1.67,248.9808662
1.68,290.7728058
1.69,291.0255329
1.7,257.3890884
1.71,222.3019075
1.72,222.465665
1.73,203.3050376
1.74,203.4439239
1.75,170.2095092
1.76,170.3043711
1.77,153.8039357
1.78,153.8768527
1.79,136.1278363
1.8,123.4475673
1.81,123.4796812
1.82,115.6352655
1.83,115.6568348
1.84,104.1192229
1.85,104.1275872
1.86,100.3338566
1.87,100.3379396
1.88,95.64055189
1.89,91.23608551
1.9,91.22751441
1.91,87.41584627
1.92,87.40199437
1.93,80.47070426
1.94,80.44725617
