time,thrust,mdotp
0,800,0
0.0806,2458.398701,0.939497802
0.1612,2915.307808,1.198340926
0.2418,3371.823655,1.456961265
0.3224,3827.949832,1.715360853
0.403,4283.691005,1.973542333
0.4836,4739.052907,2.231508951
0.5642,5194.042334,2.48926456
0.6448,5648.667161,2.74681362
0.7254,6102.936325,3.004161192
0.806,6556.859834,3.261312949
0.8866,7010.448766,3.518275164
0.9672,7463.715268,3.775054721
1.0478,7430.096513,3.756009393
1.1284,7427.644696,3.754620417
1.209,7191.465227,3.62082262
1.2896,7189.197059,3.619537683
1.3702,7045.587494,3.538181571
1.4508,7043.461715,3.536977298
1.5314,7105.336001,3.572029638
1.612,7007.873788,3.516816416
1.6926,7005.898057,3.515697147
1.7732,7084.045658,3.559968467
1.8538,7082.141437,3.558889708
1.9344,7071.236405,3.55271191
2.015,7069.429907,3.551688512
2.0956,6999.627175,3.512144636
2.1762,6997.931339,3.51118393
2.2568,7015.774151,3.521292043
2.3374,7036.502147,3.53303464
2.418,7034.937154,3.532148057
2.4986,7050.037556,3.540702571
2.5792,7048.563749,3.539867646
2.6598,7040.021368,3.53502831
2.7404,7038.643561,3.53424777
2.821,6930.665291,3.473077108
2.9016,6929.397739,3.472359028
2.9822,6825.408545,3.413448213
3.0628,6935.015045,3.475541282
3.1434,6933.881693,3.474899228
3.224,6516.583235,3.238495893
3.3046,6515.584277,3.237929974
3.3852,6536.361287,3.249700338
3.4658,6535.43713,3.249176794
3.5464,6619.538101,3.296820752
3.627,6618.685259,3.296337609
3.7076,6531.544699,3.246971697
3.7882,6812.28158,3.406011669
3.8688,6811.53938,3.405591206
3.9494,6626.160577,3.300572444
4.03,6625.510706,3.300204287
4.1106,6578.77129,3.273725986
4.1912,6578.202634,3.273403837
4.2718,6772.379026,3.383406512
4.3524,6771.890344,3.38312967
4.433,6648.802276,3.31339917
4.5136,6812.318033,3.40603232
4.5942,6811.958191,3.405828466
4.6748,6744.065693,3.367366755
4.7554,6743.789749,3.367210429
4.836,7176.323378,3.612244627
4.9166,7176.161378,3.612152852
4.9972,6820.018999,3.410394986
5.0778,6819.926771,3.410342739
5.1584,6621.424345,3.297889326
5.239,6684.090701,3.333390381
5.3196,6684.112847,3.333402927
5.4002,6979.129373,3.500532447
5.4808,6979.272439,3.500613494
5.5614,6895.86406,3.453361896
5.642,6896.087984,3.453488752
5.7226,6765.703697,3.379624879
5.8032,6765.99616,3.379790561
5.8838,6993.841673,3.508867097
5.9644,6701.610424,3.343315462
6.045,6702.02068,3.343547876
6.1256,6400.766923,3.172884909
6.2062,6401.197394,3.173128775
6.2868,7387.857338,3.73208052
6.3674,7388.585185,3.732492852
6.448,6439.828205,3.195013477
6.5286,5873.652845,2.874270036
6.6092,5874.148855,2.87455103
6.6898,7156.68472,3.60111915
6.7704,7157.581598,3.601627239
6.851,6874.712033,3.441379083
6.9316,6875.626225,3.441896981
7.0122,6025.425107,2.96025039
7.0928,6026.168333,2.960671434
7.1734,6799.111949,3.398550954
7.254,6912.143863,3.462584551
7.3346,6913.27618,3.463226019
7.4152,5850.198679,2.86098304
7.4958,5851.050979,2.861465875
7.5764,6551.257364,3.258139099
7.657,6552.418387,3.258796829
7.7376,7014.192191,3.520395849
7.8182,7015.606858,3.52119727
7.8988,5702.508025,2.777314954
7.9794,6851.548955,3.428256991
8.06,6853.024495,3.429092897
8.1406,6243.496804,3.08378997
