mach,CA
0.0,4.9
0.1,0.3659
0.11,0.3625
0.12,0.3618
0.13,0.3619
0.14,0.3642
0.15,0.3671
0.16,0.3696
0.17,0.3718
0.18,0.3738
0.19,0.3756
0.2,0.3773
0.21,0.3787
0.22,0.3801
0.23,0.3813
0.24,0.3824
0.25,0.3834
0.26,0.3843
0.27,0.3852
0.28,0.3859
0.29,0.3866
0.3,0.3873
0.31,0.3879
0.32,0.3884
0.33,0.3889
0.34,0.3894
0.35,0.3898
0.36,0.3902
0.37,0.3906
0.38,0.3909
0.39,0.3912
0.4,0.3915
0.41,0.3917
0.42,0.3919
0.43,0.3921
0.44,0.3923
0.45,0.3924
0.46,0.3926
0.47,0.3927
0.48,0.3928
0.49,0.3929
0.5,0.39299999999999996
0.51,0.39299999999999996
0.52,0.39299999999999996
0.53,0.39299999999999996
0.54,0.3929
0.55,0.3929
0.56,0.3928
0.57,0.3929
0.58,0.3928
0.59,0.3927
0.6,0.3926
0.61,0.3926
0.62,0.3925
0.63,0.3924
0.64,0.3923
0.65,0.3922
0.66,0.3921
0.67,0.3921
0.68,0.392
0.69,0.3919
0.7,0.3918
0.71,0.3917
0.72,0.3917
0.73,0.3916
0.74,0.3916
0.75,0.3915
0.76,0.3915
0.77,0.3915
0.78,0.3915
0.79,0.3916
0.8,0.3916
0.81,0.3918
0.82,0.3924
0.83,0.3932
0.84,0.3944
0.85,0.3958
0.86,0.3974
0.87,0.3993
0.88,0.4015
0.89,0.4038
0.9,0.4063
0.91,0.4125
0.92,0.4189
0.93,0.4252
0.94,0.4313
0.95,0.4371
0.96,0.4433
0.97,0.4492
0.98,0.4548
0.99,0.46
1.0,0.4649
1.01,0.4693
1.02,0.4733
1.03,0.4769
1.04,0.4799
1.05,0.4824
1.06,0.4798
1.07,0.4772
1.08,0.4746
1.09,0.4723
1.1,0.47
1.11,0.4678
1.12,0.4657
1.13,0.4636
1.14,0.4615
1.15,0.4594
1.16,0.4579
1.17,0.4564
1.18,0.4549
1.19,0.4534
1.2,0.4519
1.21,0.45
1.22,0.4485
1.23,0.447
1.24,0.4455
1.25,0.4441
1.26,0.44299999999999995
1.27,0.4418
1.28,0.4407
1.29,0.4396
1.3,0.4383
1.31,0.4372
1.32,0.4361
1.33,0.4351
1.34,0.434
1.35,0.433
1.36,0.4318
1.37,0.4308
1.38,0.4297
1.39,0.4287
1.4,0.4276
1.41,0.4266
1.42,0.4256
1.43,0.4245
1.44,0.4235
1.45,0.4225
1.46,0.4215
1.47,0.4206
1.48,0.4196
1.49,0.4187
1.5,0.4178
1.51,0.4168
1.52,0.4158
1.53,0.415
1.54,0.4142
1.55,0.4133
1.56,0.4126
1.57,0.4124
1.58,0.4137
1.59,0.42
1.6,0.4228
1.61,0.4262
1.62,0.4281
1.63,0.4262
1.64,0.4222
1.65,0.4188
1.66,0.41600000000000004
1.67,0.4137
1.68,0.4116
1.69,0.4096
1.7,0.4077
1.71,0.4059
1.72,0.4042
1.73,0.4026
1.74,0.4009
1.75,0.3994
1.76,0.3979
1.77,0.3965
1.78,0.395
1.79,0.3937
1.8,0.3923
1.81,0.3909
1.82,0.3896
1.83,0.3882
1.84,0.3869
1.85,0.3856
1.86,0.3843
1.87,0.38299999999999995
1.88,0.3818
1.89,0.3805
1.9,0.3792
1.91,0.37799999999999995
1.92,0.3767
1.93,0.3755
1.94,0.3743
1.95,0.373
1.96,0.3718
1.97,0.3706
1.98,0.3694
1.99,0.3682
2.0,0.36700000000000005
2.01,0.3658
2.02,0.3646
2.03,0.3635
2.04,0.3623
2.05,0.3612
2.06,0.36
2.07,0.3589
2.08,0.3577
2.09,0.3566
2.1,0.3555
2.11,0.3543
2.12,0.3532
2.13,0.3521
2.14,0.3509
2.15,0.3498
2.16,0.3487
2.17,0.3476
2.18,0.3465
2.19,0.3453
2.2,0.3442
2.21,0.3431
2.22,0.342
2.23,0.3409
2.24,0.3398
2.25,0.3387
2.26,0.3376
2.27,0.3365
2.28,0.3354
2.29,0.3343
2.3,0.3332
2.31,0.3321
2.32,0.331
2.33,0.3299
2.34,0.3288
2.35,0.3277
2.36,0.3266
2.37,0.3256
2.38,0.3245
2.39,0.3234
2.4,0.3223
2.41,0.3212
2.42,0.3202
2.43,0.3191
2.44,0.318
2.45,0.317
2.46,0.3159
2.47,0.3148
2.48,0.3138
2.49,0.3127
2.5,0.3116
2.51,0.3107
2.52,0.3098
2.53,0.3088
2.54,0.3078
2.55,0.3069
2.56,0.306
2.57,0.305
2.58,0.3041
2.59,0.3032
2.6,0.3022
2.61,0.3013
2.62,0.3004
2.63,0.2995
2.64,0.2985
2.65,0.2976
2.66,0.2967
2.67,0.2959
2.68,0.2949
2.69,0.294
2.7,0.2931
2.71,0.2922
2.72,0.2913
2.73,0.2904
2.74,0.2895
2.75,0.2886
2.76,0.2877
2.77,0.2867
2.78,0.2858
2.79,0.2849
2.8,0.284
2.81,0.2831
2.82,0.2822
2.83,0.2813
2.84,0.2804
2.85,0.2795
2.86,0.2786
2.87,0.2777
2.88,0.2768
2.89,0.2759
2.9,0.275
2.91,0.2741
2.92,0.2732
2.93,0.2723
2.94,0.2714
2.95,0.2705
2.96,0.2696
2.97,0.2687
2.98,0.2678
2.99,0.267
3.0,0.2661
