alt,vel,dir
0.0000,0.0000,45.0000
10.0000,2.8062,45.0000
20.0000,3.1498,45.0000
30.0000,3.3700,45.0000
40.0000,3.5355,45.0000
50.0000,3.6695,45.0000
60.0000,3.7827,45.0000
70.0000,3.8812,45.0000
80.0000,3.9685,45.0000
90.0000,4.0472,45.0000
100.0000,4.1189,45.0000
110.0000,4.1848,45.0000
120.0000,4.2460,45.0000
130.0000,4.3030,45.0000
140.0000,4.3565,45.0000
150.0000,4.4068,45.0000
160.0000,4.4545,45.0000
170.0000,4.4997,45.0000
180.0000,4.5428,45.0000
190.0000,4.5839,45.0000
200.0000,4.6233,45.0000
210.0000,4.6610,45.0000
220.0000,4.6973,45.0000
230.0000,4.7322,45.0000
240.0000,4.7659,45.0000
250.0000,4.7985,45.0000
260.0000,4.8299,45.0000
270.0000,4.8604,45.0000
280.0000,4.8900,45.0000
290.0000,4.9186,45.0000
300.0000,4.9465,45.0000
310.0000,4.9736,45.0000
320.0000,5.0000,45.0000
330.0000,5.0257,45.0000
340.0000,5.0508,45.0000
350.0000,5.0752,45.0000
360.0000,5.0991,45.0000
370.0000,5.1225,45.0000
380.0000,5.1453,45.0000
390.0000,5.1676,45.0000
400.0000,5.1895,45.0000
410.0000,5.2109,45.0000
420.0000,5.2318,45.0000
430.0000,5.2524,45.0000
440.0000,5.2725,45.0000
450.0000,5.2923,45.0000
460.0000,5.3118,45.0000
470.0000,5.3308,45.0000
480.0000,5.3496,45.0000
490.0000,5.3680,45.0000
500.0000,5.3861,45.0000
510.0000,5.4039,45.0000
520.0000,5.4214,45.0000
530.0000,5.4386,45.0000
540.0000,5.4556,45.0000
550.0000,5.4723,45.0000
560.0000,5.4888,45.0000
570.0000,5.5050,45.0000
580.0000,5.5210,45.0000
590.0000,5.5367,45.0000
600.0000,5.5523,45.0000
610.0000,5.5676,45.0000
620.0000,5.5827,45.0000
630.0000,5.5976,45.0000
640.0000,5.6123,45.0000
650.0000,5.6268,45.0000
660.0000,5.6412,45.0000
670.0000,5.6553,45.0000
680.0000,5.6693,45.0000
690.0000,5.6831,45.0000
700.0000,5.6968,45.0000
710.0000,5.7102,45.0000
720.0000,5.7236,45.0000
730.0000,5.7367,45.0000
740.0000,5.7498,45.0000
750.0000,5.7626,45.0000
760.0000,5.7754,45.0000
770.0000,5.7880,45.0000
780.0000,5.8004,45.0000
790.0000,5.8128,45.0000
800.0000,5.8250,45.0000
810.0000,5.8370,45.0000
820.0000,5.8490,45.0000
830.0000,5.8608,45.0000
840.0000,5.8725,45.0000
850.0000,5.8841,45.0000
860.0000,5.8956,45.0000
870.0000,5.9070,45.0000
880.0000,5.9182,45.0000
890.0000,5.9294,45.0000
900.0000,5.9404,45.0000
910.0000,5.9514,45.0000
920.0000,5.9622,45.0000
930.0000,5.9730,45.0000
940.0000,5.9837,45.0000
